id,name,category,price
77,Leather Chelsea ankle boots,"Men/Shoes and accessories/Shoes",4499000
78,Pack of 3 cotton socks,"Men/Shoes and accessories/Shoes",549000
79,Braided leather belt,"Men/Shoes and accessories/Belts and braces",1499000
80,Knitted wool-blend cap,"Men/Shoes and accessories/Scarvers, caps and glovers",1099000
81,Fringed check scarf,"Men/Shoes and accessories/Scarvers, caps and glovers",1299000
82,Suede leather gloves with wool lining,"Men/Shoes and accessories/Scarvers, caps and glovers",1699000
83,Polarised sunglasses,"Men/Shoes and accessories/Sunglasses",1499000
84,Leather suit shoes,"Men/Shoes and accessories/Shoes",3999000
85,Leather suit shoes,"Men/Shoes and accessories/Shoes",3999000
86,Suede leather gloves with wool lining,"Men/Shoes and accessories/Scarvers, caps and glovers",1699000
87,Ribbed wool-blend scarf,"Men/Shoes and accessories/Scarvers, caps and glovers",1699000
88,Leather reversible belt,"Men/Shoes and accessories/Belts and braces",1299000
89,Polarised sunglasses,"Men/Shoes and accessories/Sunglasses",1299000
90,Fringed check scarf,"Men/Shoes and accessories/Scarvers, caps and glovers",1299000
91,Die-cut leather chelsea ankle boots,"Men/Shoes and accessories/Shoes",4499000
92,Leather moccasin with track sole,"Men/Shoes and accessories/Shoes",3499000
93,Crease-resistant structured tie,"Men/Shoes and accessories/Ties and bow ties",1299000
94,Croc-effect leather belt,"Men/Shoes and accessories/Belts and braces",1499000
95,Knitted wool-blend cap,"Men/Shoes and accessories/Scarvers, caps and glovers",1099000
