id,name,price
134,Patent leather-effect shoes with buckle,1199000
135,Track outsole boots,1399000
136,Metallic heel sandals,1399000
137,Bow-heeled denim shoes,1099000
138,Block-heel sandals,1199000
139,Transparent vinyl wedge shoes,2499000
140,Platform maxi sandals,1399000
141,Strappy heeled sandals,999000
142,Block-heel sandals,1199000
143,Chain loafers,1399000
144,Satin ballerinas with buckle,1099000
145,Patent leather-effect heeled boots,1799000
146,High-heeled sandals with buckles,1199000
147,Sandals with rhinestone buckle detail ,999000
148,Pointed toe heel shoes,999000
149,Chain loafers,1399000
150,Denim ballerinas,999000
151,Heeled platform shoes,1399000
152,Asymmetrical heeled shoes,999000
