id,name,price
115,Fine-knit turtleneck sweater,699000
116,Fine-knit turtleneck sweater,699000
117,Fine-knit turtleneck sweater,699000
118,Oversized V-neck sweater,999000
119,Ribbed long cardigan,1199000
120,Fine-knit cardigan,699000
121,Sweater with fur-effect trim,1199000
122,Oversized cardigan with buttons,999000
123,Oversized V-neck sweater,999000
124,Sweater with decorative seam,899000
125,Oversized V-neck sweater,899000
126,Ribbed sweater with low-cut back,699000
127,V-neck lurex sweater,699000
128,Mottled round-neck sweater,1199000
129,Fine-knit cardigan,699000
130,Oversized cardigan with buttons,999000
131,V-neck striped sweater,999000
132,V-neck knitted cardigan,799000
133,Striped polo-neck sweater,1199000
